,user_name,text,lowercase,unwanted_spaces,urls,html_encodings,usernames,pne,three_characters,stopwords,tokenize,lemmatize,duplicate,clean_text
0,Amy,"RT @nexta_tv: ⚡️Russian Senator Lyudmila Narusova acknowledged huge losses of the #Russian army

""Yesterday the conscripts, who were forced…","rt @nexta_tv: ⚡️russian senator lyudmila narusova acknowledged huge losses of the #russian army

""yesterday the conscripts, who were forced…","rt @nexta_tv: ⚡️russian senator lyudmila narusova acknowledged huge losses of the #russian army ""yesterday the conscripts, who were forced…","rt @nexta_tv: ⚡️russian senator lyudmila narusova acknowledged huge losses of the #russian army ""yesterday the conscripts, who were forced…","rt @nexta_tv: ⚡️russian senator lyudmila narusova acknowledged huge losses of the #russian army ""yesterday the conscripts, who were forced…","rt _tv: ⚡️russian senator lyudmila narusova acknowledged huge losses of the #russian army ""yesterday the conscripts, who were forced…",rt  tv    russian senator lyudmila narusova acknowledged huge losses of the  russian army  yesterday the conscripts  who were forced ,russian senator lyudmila narusova acknowledged huge losses russian army yesterday conscripts were forced,russian senator lyudmila narusova acknowledged huge losses russian army yesterday conscripts forced,"['russian', 'senator', 'lyudmila', 'narusova', 'acknowledged', 'huge', 'losses', 'russian', 'army', 'yesterday', 'conscripts', 'forced']",russian senator lyudmila narusova acknowledge huge loss russian army yesterday conscript force,russian senator lyudmila narusova acknowledge huge loss army yesterday conscript force,russian senator lyudmila narusova acknowledge huge loss army yesterday conscript force
1,Cathy Orcutt,"RT @lifesafeast: After we remove Russian vodka from liquor stores, cut off Amazon deliveries, freeze banking assets, confiscate property &amp;…","rt @lifesafeast: after we remove russian vodka from liquor stores, cut off amazon deliveries, freeze banking assets, confiscate property &amp;…","rt @lifesafeast: after we remove russian vodka from liquor stores, cut off amazon deliveries, freeze banking assets, confiscate property &amp;…","rt @lifesafeast: after we remove russian vodka from liquor stores, cut off amazon deliveries, freeze banking assets, confiscate property &amp;…","rt @lifesafeast: after we remove russian vodka from liquor stores, cut off amazon deliveries, freeze banking assets, confiscate property &amp;…","rt : after we remove russian vodka from liquor stores, cut off amazon deliveries, freeze banking assets, confiscate property &amp;…",rt   after we remove russian vodka from liquor stores  cut off amazon deliveries  freeze banking assets  confiscate property  amp  ,after remove russian vodka from liquor stores amazon deliveries freeze banking assets confiscate property,remove russian vodka liquor stores amazon deliveries freeze banking assets confiscate property,"['remove', 'russian', 'vodka', 'liquor', 'stores', 'amazon', 'deliveries', 'freeze', 'banking', 'assets', 'confiscate', 'property']",remove russian vodka liquor store amazon delivery freeze bank asset confiscate property,remove russian vodka liquor store amazon delivery freeze bank asset confiscate property,remove russian vodka liquor store amazon delivery freeze bank asset confiscate property
2,totozilla 🥺🍼🍼🍫,RT @mjluxmoore: Looks like the whole of Novopskov in eastern Ukraine has come out to tell the bedraggled Russian soldiers occupying the tow…,rt @mjluxmoore: looks like the whole of novopskov in eastern ukraine has come out to tell the bedraggled russian soldiers occupying the tow…,rt @mjluxmoore: looks like the whole of novopskov in eastern ukraine has come out to tell the bedraggled russian soldiers occupying the tow…,rt @mjluxmoore: looks like the whole of novopskov in eastern ukraine has come out to tell the bedraggled russian soldiers occupying the tow…,rt @mjluxmoore: looks like the whole of novopskov in eastern ukraine has come out to tell the bedraggled russian soldiers occupying the tow…,rt : looks like the whole of novopskov in eastern ukraine has come out to tell the bedraggled russian soldiers occupying the tow…,rt   looks like the whole of novopskov in eastern ukraine has come out to tell the bedraggled russian soldiers occupying the tow ,looks like whole novopskov eastern ukraine come tell bedraggled russian soldiers occupying,looks like whole novopskov eastern ukraine come tell bedraggled russian soldiers occupying,"['looks', 'like', 'whole', 'novopskov', 'eastern', 'ukraine', 'come', 'tell', 'bedraggled', 'russian', 'soldiers', 'occupying']",look like whole novopskov eastern ukraine come tell bedraggle russian soldier occupy,look like whole novopskov eastern ukraine come tell bedraggle russian soldier occupy,look like whole novopskov eastern ukraine come tell bedraggle russian soldier occupy
3,Alex Costova,@luisamachado77 @shaunwalker7 Last I spoke with her she fully believed that Ukraine was attacking Russia. I fear if I try to change her mind she could get in trouble. I don't know what to say to her other than I hope she is safe &amp; that I love her. I feel so helpless being a Russian living in America now.,@luisamachado77 @shaunwalker7 last i spoke with her she fully believed that ukraine was attacking russia. i fear if i try to change her mind she could get in trouble. i don't know what to say to her other than i hope she is safe &amp; that i love her. i feel so helpless being a russian living in america now.,@luisamachado77 @shaunwalker7 last i spoke with her she fully believed that ukraine was attacking russia. i fear if i try to change her mind she could get in trouble. i don't know what to say to her other than i hope she is safe &amp; that i love her. i feel so helpless being a russian living in america now.,@luisamachado77 @shaunwalker7 last i spoke with her she fully believed that ukraine was attacking russia. i fear if i try to change her mind she could get in trouble. i don't know what to say to her other than i hope she is safe &amp; that i love her. i feel so helpless being a russian living in america now.,@luisamachado77 @shaunwalker7 last i spoke with her she fully believed that ukraine was attacking russia. i fear if i try to change her mind she could get in trouble. i don't know what to say to her other than i hope she is safe &amp; that i love her. i feel so helpless being a russian living in america now.,  last i spoke with her she fully believed that ukraine was attacking russia. i fear if i try to change her mind she could get in trouble. i don't know what to say to her other than i hope she is safe &amp; that i love her. i feel so helpless being a russian living in america now.,  last i spoke with her she fully believed that ukraine was attacking russia  i fear if i try to change her mind she could get in trouble  i don t know what to say to her other than i hope she is safe  amp  that i love her  i feel so helpless being a russian living in america now ,last spoke with fully believed that ukraine attacking russia fear change mind could trouble know what other than hope safe that love feel helpless being russian living america,last spoke fully believed ukraine attacking russia fear change mind could trouble know hope safe love feel helpless russian living america,"['last', 'spoke', 'fully', 'believed', 'ukraine', 'attacking', 'russia', 'fear', 'change', 'mind', 'could', 'trouble', 'know', 'hope', 'safe', 'love', 'feel', 'helpless', 'russian', 'living', 'america']",last speak fully believe ukraine attack russia fear change mind could trouble know hope safe love feel helpless russian live america,last speak fully believe ukraine attack russia fear change mind could trouble know hope safe love feel helpless russian live america,last speak fully believe ukraine attack russia fear change mind could trouble know hope safe love feel helpless russian live america
4,Michael👑,RT @Anansislibrary: They got rid of everything Russian faster than they got rid of all the confederate statues in this country,rt @anansislibrary: they got rid of everything russian faster than they got rid of all the confederate statues in this country,rt @anansislibrary: they got rid of everything russian faster than they got rid of all the confederate statues in this country,rt @anansislibrary: they got rid of everything russian faster than they got rid of all the confederate statues in this country,rt @anansislibrary: they got rid of everything russian faster than they got rid of all the confederate statues in this country,rt : they got rid of everything russian faster than they got rid of all the confederate statues in this country,rt   they got rid of everything russian faster than they got rid of all the confederate statues in this country,they everything russian faster than they confederate statues this country,everything russian faster confederate statues country,"['everything', 'russian', 'faster', 'confederate', 'statues', 'country']",everything russian fast confederate statue country,everything russian fast confederate statue country,everything russian fast confederate statue country
5,Phillipa Coleman,"RT @GrayConnolly: These people are certifiable.
Trump lost his account for mean tweets.
These guys want the Russian President assassinated.","rt @grayconnolly: these people are certifiable.
trump lost his account for mean tweets.
these guys want the russian president assassinated.",rt @grayconnolly: these people are certifiable. trump lost his account for mean tweets. these guys want the russian president assassinated.,rt @grayconnolly: these people are certifiable. trump lost his account for mean tweets. these guys want the russian president assassinated.,rt @grayconnolly: these people are certifiable. trump lost his account for mean tweets. these guys want the russian president assassinated.,rt : these people are certifiable. trump lost his account for mean tweets. these guys want the russian president assassinated.,rt   these people are certifiable  trump lost his account for mean tweets  these guys want the russian president assassinated ,these people certifiable trump lost account mean tweets these guys want russian president assassinated,people certifiable trump lost account mean tweets guys want russian president assassinated,"['people', 'certifiable', 'trump', 'lost', 'account', 'mean', 'tweets', 'guys', 'want', 'russian', 'president', 'assassinated']",people certifiable trump lose account mean tweet guy want russian president assassinate,people certifiable trump lose account mean tweet guy want russian president assassinate,people certifiable trump lose account mean tweet guy want russian president assassinate
6,Leslie Ebersole,"@chrislance33 @ericgarland @chrislance33 either you’re you’re a Russian propagandist or you’ve jumped on a Kremlin-funded faux-leftist bandwagon. 

https://t.co/DspceVmYFA","@chrislance33 @ericgarland @chrislance33 either you’re you’re a russian propagandist or you’ve jumped on a kremlin-funded faux-leftist bandwagon. 

https://t.co/dspcevmyfa",@chrislance33 @ericgarland @chrislance33 either you’re you’re a russian propagandist or you’ve jumped on a kremlin-funded faux-leftist bandwagon. https://t.co/dspcevmyfa,@chrislance33 @ericgarland @chrislance33 either you’re you’re a russian propagandist or you’ve jumped on a kremlin-funded faux-leftist bandwagon. ,@chrislance33 @ericgarland @chrislance33 either you’re you’re a russian propagandist or you’ve jumped on a kremlin-funded faux-leftist bandwagon. ,   either you’re you’re a russian propagandist or you’ve jumped on a kremlin-funded faux-leftist bandwagon. ,   either you re you re a russian propagandist or you ve jumped on a kremlin funded faux leftist bandwagon  ,either russian propagandist jumped kremlin funded faux leftist bandwagon,either russian propagandist jumped kremlin funded faux leftist bandwagon,"['either', 'russian', 'propagandist', 'jumped', 'kremlin', 'funded', 'faux', 'leftist', 'bandwagon']",either russian propagandist jump kremlin fund faux leftist bandwagon,either russian propagandist jump kremlin fund faux leftist bandwagon,either russian propagandist jump kremlin fund faux leftist bandwagon
7,Alexis Dix,RT @thehill: Russian oil company calls for peace in Ukraine in break with Putin https://t.co/GmUkBzq1ZA https://t.co/iUhyZhltc5,rt @thehill: russian oil company calls for peace in ukraine in break with putin https://t.co/gmukbzq1za https://t.co/iuhyzhltc5,rt @thehill: russian oil company calls for peace in ukraine in break with putin https://t.co/gmukbzq1za https://t.co/iuhyzhltc5,rt @thehill: russian oil company calls for peace in ukraine in break with putin  ,rt @thehill: russian oil company calls for peace in ukraine in break with putin  ,rt : russian oil company calls for peace in ukraine in break with putin  ,rt   russian oil company calls for peace in ukraine in break with putin  ,russian company calls peace ukraine break with putin,russian company calls peace ukraine break putin,"['russian', 'company', 'calls', 'peace', 'ukraine', 'break', 'putin']",russian company call peace ukraine break putin,russian company call peace ukraine break putin,russian company call peace ukraine break putin
8,Kemal Evans,@EA The innocent people of Ukraine are being punished for a situation created by the US government and NATO.  The 19 bioweapon labs in Ukraine and NATO is why Russia attacked.  Now you're going to punish Russian kids for the reaction of their government? Ridiculous. Donate $ instead.,@ea the innocent people of ukraine are being punished for a situation created by the us government and nato.  the 19 bioweapon labs in ukraine and nato is why russia attacked.  now you're going to punish russian kids for the reaction of their government? ridiculous. donate $ instead.,@ea the innocent people of ukraine are being punished for a situation created by the us government and nato. the 19 bioweapon labs in ukraine and nato is why russia attacked. now you're going to punish russian kids for the reaction of their government? ridiculous. donate $ instead.,@ea the innocent people of ukraine are being punished for a situation created by the us government and nato. the 19 bioweapon labs in ukraine and nato is why russia attacked. now you're going to punish russian kids for the reaction of their government? ridiculous. donate $ instead.,@ea the innocent people of ukraine are being punished for a situation created by the us government and nato. the 19 bioweapon labs in ukraine and nato is why russia attacked. now you're going to punish russian kids for the reaction of their government? ridiculous. donate $ instead., the innocent people of ukraine are being punished for a situation created by the us government and nato. the 19 bioweapon labs in ukraine and nato is why russia attacked. now you're going to punish russian kids for the reaction of their government? ridiculous. donate $ instead., the innocent people of ukraine are being punished for a situation created by the us government and nato  the    bioweapon labs in ukraine and nato is why russia attacked  now you re going to punish russian kids for the reaction of their government  ridiculous  donate   instead ,innocent people ukraine being punished situation created government nato bioweapon labs ukraine nato russia attacked going punish russian kids reaction their government ridiculous donate instead,innocent people ukraine punished situation created government nato bioweapon labs ukraine nato russia attacked going punish russian kids reaction government ridiculous donate instead,"['innocent', 'people', 'ukraine', 'punished', 'situation', 'created', 'government', 'nato', 'bioweapon', 'labs', 'ukraine', 'nato', 'russia', 'attacked', 'going', 'punish', 'russian', 'kids', 'reaction', 'government', 'ridiculous', 'donate', 'instead']",innocent people ukraine punish situation create government nato bioweapon lab ukraine nato russia attack go punish russian kid reaction government ridiculous donate instead,innocent people ukraine punish situation create government nato bioweapon lab russia attack go russian kid reaction ridiculous donate instead,innocent people ukraine punish situation create government nato bioweapon lab russia attack go russian kid reaction ridiculous donate instead
9,Andy,"@Athenas_Son_V Good, to this day the Russian Olympic committee has yet to come clean on doping.","@athenas_son_v good, to this day the russian olympic committee has yet to come clean on doping.","@athenas_son_v good, to this day the russian olympic committee has yet to come clean on doping.","@athenas_son_v good, to this day the russian olympic committee has yet to come clean on doping.","@athenas_son_v good, to this day the russian olympic committee has yet to come clean on doping.","_son_v good, to this day the russian olympic committee has yet to come clean on doping.", son v good  to this day the russian olympic committee has yet to come clean on doping ,good this russian olympic committee come clean doping,good russian olympic committee come clean doping,"['good', 'russian', 'olympic', 'committee', 'come', 'clean', 'doping']",good russian olympic committee come clean dope,good russian olympic committee come clean dope,good russian olympic committee come clean dope
